vid,channelId,title,channelTitle,categoryId,tags,cc_segment
r6RuUbI618M,UCCjG8NtOig0USdrT5D1FpxQ,"'As far as intensity, it’s up to Mother Nature': ‘Hurricane hunter’ Capt. Nate Wordal | The Hill",NewsNation,25.0,"['WatchTheHill', 'TheHill', 'Hurricane Helene', 'Helene', 'Hurricane Hunters']","53rd whether a scroll to the candidates , the 53rd weather reconnaissance uadron , which is in mississippi and you can see part of what they did just yesterday , the hurricane hunter , as it 's toward al , was inside hurricane helene just yesterday , i believe and joins us live from mississippi . ca n't imagine what it 's like to be in one of those aircraft in the middle of a powerful monster that this thing is what you see , what you feel . recipe . you know , we have a you need . a lot of turbulence can be really chaotic times . but everyone working together so well on the crew that . kind of the intensity . yeah , almost afterwards , just because you 're so focused on keeping everyone safe and then getting the mission done . so so that 's the look there above hurricane helene , correct me if i 'm wrong . but i believe this was was yesterday as it was approaching florida and you were over it . how did you when when you are over it like ? in that moment in time ? well , we actually do n't fly over the hurricane . we have to fly right through the side of we fight the eye wall . to get to the eye . we mark the weather instruments call drops on throughout and get information directly . hurricane center . but it really is pretty surreal and you 're getting caught around . you can see much obviously loud and rain and everything on one to break through the eyes . just kind of like movies where total peace common . really ? the calm of the storm . so you have a couple minutes gather yourself reflect and then out the other side , no surprise . no surprise that this strengthen to a 4 on your end . o well . to be honest . you ca n't really predict exactly what the things are going to do . you know it intensified today from , you know , one to 3 so do anything . we try to give information so that the forecasters give an accurate cat forecast where they think it 's going to go as far the intensity nature . knowing that you were just flying through the outer wall of this in the recent day and knowing what is coming to the big bend region of florida tonight . what goes through your mind ? having been that close ? just did gives you a real sense of important than the job and your heart goes out to people of florida . absolutely . and all those affected . and you know what you 're doing in that moment is making a difference . and so when we brief and when we go when things are tough in the storm and we know that it 's going to be impacting americans and the people of florida . we are absolutely committed and honored to be able to do this job for them . they were n't all . thank you for joining us . i appreciate the time . appreciate what you folks do . it is absolutely remarkable that it that it is done and it gives the information that is needed in times like these . nate , thank"
tyjqNHIrWWk,UCO0akufu9MOzyz3nvGIXAAw,At least 19 dead amid deadly flooding in Europe,Sky News Australia,25.0,"['6362086577112', 'fb', 'global', 'msn', 'world', 'yt']","mass evacuation orders have been issued due to deadly flooding in multiple european countries at least 19 people have died and more heavy rain his forecast for these people in austria the only way out now is by boat floodings brought misery to parts of central europe here several villages have been cut off water bursting out of raging rivers often with little warning even after the rain has stopped does we got a warning that a flood wave was coming so we had to act quickly this fire chief explains he says they thought they 'd avoided the worst but then the water peaked around 6:00 a.m. and this was the result in poland the floodings been declared a disaster cities and towns have been evacuated as roads turned to rivers rising waters forced some residents onto rooftops but as the floods receded in other parts of the country the scale of the devastation was revealed my family have this shop sign 60 years first my grandmother have then my dad and now sence 15 years me and yesterday i lost everything sorry parts of the czech republic and romania are also submerged emergency services across europe have been pushed to their limits in many places the armies stepped in to help authorities are doing what they can to hold back the waters in vab men women and children fill sandbags they 're not taking any chances after a catastrophic flood cut off the city in 1997 this area was at the center of one of the worst natural disasters to hit poland almost 30 years ago and now the 600,000 residents have warned another wave is coming dagna lived through that flood she remembers these scenes the people stranded left homeless the life lost she 's hoping defenses hold this time round uh some of the stop barriers has been overcome so we know that some incidents may happen and then it can uh still cause the a lot of damages like in the past so i feel i think that older generation is very worried and they are n't the only ones waiting for the floods river levels are also predicted to continue rising in hungary and germany in the coming days"
TuifNWqITxk,UCCjG8NtOig0USdrT5D1FpxQ,Fort Myers resident hopeful in wake of Hurricane Milton | Morning in America,NewsNation,25.0,"['Hurricane Milton', 'Fort Myers', 'Milton', 'hurricane', 'storm', 'weather', 'WatchMorningInAmerica', 'hurricane milton evacuation', 'hurricane milton update']","enough to where they can go out and they could assessing the damage . alright xavier , thank you so much . i 'm now joined on the phone by heather sandell . she riding out this storm in fort myers , florida . heather , you 're on the phone with made you happy this morning . we 're very happy this morning . okay . i gotcha . i just heard from tampa 's mayor , you know , she 's holding a press conference . you she said do not get out on the roads . you 're out on the roads this morning . are you confident in that decision and what to the roads look like . i 'm pretty confident we 're in estero going traveling back fort myers and i so far in estero all . clear here . there was wind all night long . founded . i probably sounded a lot worse than it was , but we are headed to fort myers . we downtown near the river . we were able to check in on our cameras throughout the night included not power at all . so we 're pretty hopeful that things are going to be okay . aside from some debrisn the you trees things like that to be careful . get there . we have we want to check that damage . and we 've got a couple other properties we need get a look make repairs if necessary and check on . i know you and millions of other floridians all week long . wondering what milton was going to be like what it was going to feel like . how did it match your expectations that it packed a punch that you 're anticipating heather . it was nothing like em . stephanie , what about what about halloween ? a couple weeks ago . flooding . it was it was nothing . more than the bad tropical storm in our area . really . you . i understand you and your husband , mike , your small business owners . you 're in the business of swimming pools . any idea what your business looks like this morning . and how your livelihood could be affected . it 's going to be actually pretty busy because everybody pulls on fort myers beach is where is located . getting went under water . i 'm not sure what the church was there . but i know what a we just gotten the polls . we have not gotten caught up replacing all the equipment from that storm now kind of like we 're gon na end up starting over . and i think that one under water with one . what 's your plan today once things settle down . you know , you get back home and you can really assess damage . what 's priority one . priority ? one putting our house back together priority to will be starting go to our e-mail text messages and just can get down there and help our customers and get them back up and going . well , heather , thank you so much for joining me . over the phone . i know you have a full plate today . so i appreciate there on the ground in florida . police keep us posted . a great day . you to"
Ky8kCs0g4Ok,UCeY0bbntWzzVIaj2z3QigXg,Bermuda braces for Hurricane Ernesto,NBC News,25.0,"['Health', 'International News', 'Lester Holt', 'Making A Difference', 'NBC Nightly News', 'National News', 'News', 'Nightly News', 'U.S. News', 'breaking news', 'evening news', 'politics', 'world news']","starting monday for convention coverage live from chicago . convention coverage live from chicago . that starts at live from chicago . that starts at 4:00 p.m. eastern on that starts at 4:00 p.m. eastern on news now and 4:00 p.m. eastern on news now and 10:00 p.m. on nbc . news now and 10:00 p.m. on nbc . > > > now to hurricane 10:00 p.m. on nbc . > > > now to hurricane ernesto strengthening > > > now to hurricane ernesto strengthening into a powerful ernesto strengthening into a powerful category 2 storm as it into a powerful category 2 storm as it closes in on bermuda category 2 storm as it closes in on bermuda and brings dangerous closes in on bermuda and brings dangerous rip currents to and brings dangerous rip currents to beaches up and down rip currents to beaches up and down the east coast this beaches up and down the east coast this weekend . the east coast this weekend . guad venegas is in the weekend . guad venegas is in the storm zone for us guad venegas is in the storm zone for us tonight , and , guad , storm zone for us tonight , and , guad , what are most tonight , and , guad , what are most concerned about there ? what are most concerned about there ? > > reporter : tom , concerned about there ? > > reporter : tom , officials have warned > > reporter : tom , officials have warned this is expected to be officials have warned this is expected to be a long-lasting rain this is expected to be a long-lasting rain and wind event with a long-lasting rain and wind event with deadly force . and wind event with deadly force . the concern is that deadly force . the concern is that some people might not the concern is that some people might not be taking this as some people might not be taking this as serious as they should be taking this as serious as they should while taking the serious as they should while taking the necessary precautions . while taking the necessary precautions . bermuda bracing for necessary precautions . bermuda bracing for impact . bermuda bracing for impact . the small island impact . the small island territory in the the small island territory in the middle of the atlantic territory in the middle of the atlantic shutting down middle of the atlantic shutting down businesses and its shutting down businesses and its airport tonight as businesses and its airport tonight as hurricane ernesto , now airport tonight as hurricane ernesto , now a category 2 storm , hurricane ernesto , now a category 2 storm , approaches . a category 2 storm , approaches . government officials approaches . government officials warning residents and government officials warning residents and tourists -- warning residents and tourists -- > > this is not a storm tourists -- > > this is not a storm to be taken lightly . > > this is not a storm to be taken lightly . we are about to endure to be taken lightly . we are about to endure at least 36 hours of we are about to endure at least 36 hours of hurricane and tropical at least 36 hours of hurricane and tropical storm-force winds . hurricane and tropical storm-force winds . > > reporter : cruise storm-force winds . > > reporter : cruise ships escaping the > > reporter : cruise ships escaping the island before the ships escaping the island before the storm , and airlines island before the storm , and airlines running final flights storm , and airlines running final flights before a shutdown . running final flights before a shutdown . larry and barbara before a shutdown . larry and barbara gordon from larry and barbara gordon from philadelphia are on gordon from philadelphia are on what could be the last philadelphia are on what could be the last flight out tonight . what could be the last flight out tonight . > > we 're lucky that flight out tonight . > > we 're lucky that we 're getting out of > > we 're lucky that we 're getting out of town before all hell we 're getting out of town before all hell breaks loose . town before all hell breaks loose . > > reporter : others breaks loose . > > reporter : others with no choice but to > > reporter : others with no choice but to ride it out . with no choice but to ride it out . > > what else have you ride it"
PB38k1e6624,UCXIJgqnII2ZOINSWNOGFThA,Florida sheriff: 'We've never seen this many tornadoes at once',Fox News,25.0,"['breaking news', 'florida hurricane live', 'florida milton', 'florida news', 'florida tornado', 'florida weather live', 'fox news', 'fox news channel', 'fox news media', 'fox news network', 'hurricane milton', 'hurricane milton 2024', 'hurricane milton 2024 live', 'hurricane milton 2024 update', 'hurricane milton live', 'hurricane milton live cam', 'hurricane milton live coverage', 'hurricane milton update', 'sarasota', 'storm chaser', 'tornado warnings', 'tornado warnings florida']","remarkable how many tornado warnings we had over 80 , neil . > > neil : incredible rubber think you very much . as aubert mentioned the tornado activity we saw and a lot of it was on the atlantic coast side . a lot of it -- that 's what makes it and of itself rather remarkable . you 're looking right now or will be on the atlantic coast again this is on the east coast of florida where this tornado activity claimed up to five of the eight lives lost in this storm . keith peterson joins us right now florida sheriff . sheriff good to have you . so you had your share of work to deal with and pressures to deal with but a a few thought it would be on your side of the state . > > you know , you said earlier this is unprecedented . the first band that came through from milton hit the treasure coast . we have 17 confirmed tornadoes that touched down . our deputies alone were on the radio saying this or try nato here , there is one here . these are all miles within each other . we 've never seen anything like this before it devastated ark unity . search and rescue still going on try to save as many people as we can . we are in a community that 's 55 and older , modular homes right here at the command center . we have people out there before during and after the storm now making sure we can rescue as many as we can . > > how are they doing right now ? you and your men and women are you guys doing right now ? > > we are doing everything we possibly can . leave a great governor in ron desantis . within hours even before the storm came he sent search-and-rescue teams and national guardsmen on site . they 've been through the night going through the rubble trying to find anyone they can rescue . i know we got 25 people to a shelter from this area . unfortunately our death toll has risen again we are at six confirmed and we still have a lot more houses and rubble to check . hopefully we can find some more life . > > neil : if you do n't mind bringing me up to speed i apologize for my ignorance here but whether any evacuation orders or anything where you are ? i know you 're on the west side of the state but you can tell me . > > yes of this storm had n't even hit the west coast yet it was still miles offshore . this was a storm defeated bends came through just what we would normally get here on the treasure coast with the hurricane . we 've been here before your push before we 've never seen this many at once . again we are talking about a 20 minute window with just the worst possible whether there could possibly be . i do n't how to write or tornado but i could tell you the vehicles were lifted up flipped upside down and thrown . trailers were ripped off their foundation and throne and crumpled like an empty can of soda . it 's devastation . our troops are out here right now rescuing as many people as the candidates to live rescue mission . > > it 's just incredible i do n't how you deal with . but i 'd be curious now it 's we changed our view of storms . if you think about it , this was not directly concurrent with the storm it was ahead of the storm a separate phenomenon and just like we 've seen with searches and flooding its change the way we look at hurricanes period . that 's got to change the way you plan for these in the future right ? > > we 've got over 120 hurricane warnings that came out to the national broadcast so what does that mean ? it means you can get the message on your phone to take shelter now . i think it 's just a check to really reiterate the fact that when these warnings come out we need to heed to them . > > neil : you know , is not on the hurricane season we are in the midst of it thanks could pick up the pace i do n't know of any new storms forming but were a lot of people lulled into a false sense of security when the season started and everyone said it would be record number obviously we"
QAZDX-rjDUo,UCeY0bbntWzzVIaj2z3QigXg,Western North Carolina hit with life-threatening flooding and mudslides,NBC News,25.0,"['Health', 'International News', 'Lester Holt', 'Making A Difference', 'NBC Nightly News', 'National News', 'News', 'Nightly News', 'U.S. News', 'breaking news', 'evening news', 'politics', 'world news']",[ music ] tonight an unfolding catastrophe in asheville north carolina homes and buildings swept away by raging flood waters that have submerged the town it 's beyond anything i 've ever seen in my lifetime parts of the town not underwater completely cut off somebody on a facebook post said something about having to fly out of asheville cuz you ca n't drive out of asheville that extreme yeah with no power and no cell service crowds formed outside this hotel one of the only places in town with working wi-fi we 've been just trying to get on as much as we can and either get an email or a text out and just let everybody know that we 're okay we met up with cindy tran her forever home a self-described oasis ravaged by the cresting french broad river nearby the water came up so quick um halfway up to the second floor we thought the way it just kept rising so fast it was going to get to the second floor so we had to get out a similar scene in the town of chimney rock virtually wiped off the map by flood waters chimy rocks gone flying bridge gone meanwhile the heavy rains triggering a massive mudslide that washed out this stretch of i40 a major highway connecting western and eastern parts of the state one bit of good news two dams that were in danger of collapse the nich chucky and lak lore dams now appear to be okay as water levels slowly recede helen 's flooding rains bringing devastation to tennessee as well in irwin the scene of this traumatic rescue patients and staff rushing to the roof as flood waters engulf the unoy county hospital both boats and helicopters converging to quickly get them to safety i was very concerned that we was going to lose the hospital in south carolina crews dug this tree off a car strong winds leaving more than a million people there without power back in asheville residents resorting to kayaks to get around flooded streets as they figure out how to move forward are you okay i will be i 'm every now and then i was fine yesterday believe it or not but now like today things have been settling in and i just ca n't stop crying although the water is started to receive the damage is already done and with more potential rain in the forecast people here just do n't know how much more they can take jose thanks for watching stay updated about breaking news and top stories on the nbc news app or follow us on social media
-mwKMn9Yeag,UCXIJgqnII2ZOINSWNOGFThA,Sylvester Stallone hails Trump as a 'second George Washington',Fox News,25.0,"['Fox News Channel', 'FNC', 'Fox News', 'News']",[ applause ] we are in the presence of a really mythical character i love mythology and this individual does not exist on this planet nobody in the world could have pulled off what he pulled off so i 'm in awe and i 'll just say this and i mean it when george washington defended his country he had no idea that he was going to change the world cuz without him you can imagine what the world would look like guess what we got the second george washington congratulations [ applause ]
23ij0D4hkQ8,UCCjG8NtOig0USdrT5D1FpxQ,"Hurricane simulator seeks to improve forecasts, save lives | Morning in America",NewsNation,25.0,"['NOAA', 'hurricanes', 'severe weather', 'WatchMorningInAmerica', 'climate change']","the potential emergency landing out of an abundance of caution yikes hurricane season starts in just 2 days on june the first and it 's expected to be unusually active this inside look at our hurricane simulator that researchers say can help improve forecasts . and do what save lives . that 's the point . right . xavier firsthand and he 's joining us now from key biscayne , florida . xavier this is extremely critical , especially considering the potential for and that 's why it really is so important . i know it looks like i 'm in some sort of industrial warehouse . but this is what it takes to recreate mother nature 's fury over here you have a wind turbine 1400 horse power . it 's sucking the air from outside funnels and all the way into this test . take . we turn on the ways just absolutely nothing . all of this potentially saving lives . kind of l like a frght this is no . the power of mother nature . bottled up into a giant wave pool . so we climbed down into a one of a kind test tank that can recreate a category 5 hurricane . let 's see what it can do . the main power switch . that lever turning on the powerful turbines at a speed minutes . our news nation go pro capturing what scientists say is a category 2 hurricane with sustained winds around 100 miles per hour . after just 4 minutes . the testing simulating a cat 5 as winds that warm water out there . ctor brian house departments or the university of miami rosenstiel school is here to explain why this 1 of a kind simulator has never been more important increasing causing all kinds of ecological damage the increased threat of the hurricanes coming in this year . noaa forecasting 17 to 25 named storms . this believe 8 to 13 of those will become hurricanes forecasters calling for 4 to 7 major hurricanes , which means we can make the models better . so science and research are doing here . could actually be used this hurricane season . if you get a better forecast , they 're not going to set it on the sidelines and not look at it next year . all right . so what we did , we were on the other side we made our way down the ladder stairs and i want to show you this because those little sense is what we can show inside a lab . it collect data that data then goes right here into the computer . that 's where the researchers and the they 're better able to to fine tune that data and then anna more accurately predict storms where they 're going , how strong are going to be . even the work they 're doing here at the university of miami rosenstiel school . yeah . because your get your workout in that 's a big place doing big things thank you so much ."
hX8HNJ2OwGI,UCupvZG-5ko_eiXAupbDfxWw,Survivors describe the moment Hurricane Helene struck their home,CNN,25.0,"['latest news', 'Happening Now', 'CNN', 'Kate Bolduan', 'John Berman', 'Sara Sidner', 'CNN News Central', 'Hurricane Helene', 'Asheville', 'North Carolina', 'North Carolina Mountains', 'Severe Weather', 'Flood Damage', 'Hurricane Damage', 'Florida', 'Marybel Gonzalez', 'Chimney Rock', 'Tyler Convarrubias', 'Lizzie Brewer']","just in the death toll from hurricane helene is rising . 102 people have now been confirmed dead , and that number will almost certainly rise . it is already the third deadliest hurricane to hit the united states in the last 50 years . the storm left a trail of destruction at least six states in north carolina . the governor just told kate that the storm wiped entire towns off the map . cnn 's maribel gonzalez is in asheville , north carolina , which has seen so many problems . what are you seeing there this morning ? good morning john . yeah , the devastation is very , very much here in asheville , north carolina . take a look right behind us . the rainfall has subsided , but we 're now beginning to understand the damage that it left behind . this is just one of the hundreds of roads that have been closed in that remain closed this morning . and you can see why . look at the heavy , heavy sludge , the mud on the streets , making them impassable to people walking by and also to cars . we saw some of them slipping and sliding or creating very dangerous conditions . now , right now , this morning , as the sun has come up , we 've seen people , groups of people going into these businesses . we 're actually surrounded by a lot of small businesses . they 're going in to assess the damage , but we know that most of them are completely destroyed . we 're told that this may not just take weeks , but years for people to rebuild , people going back to the places where they work , saying they may not have a job to go back to . so the impacts are definitely long lasting . and all the while people are dealing with power outages . they do n't have running water . internet and cell service are also out . we definitely spoke with , some residents about what it 's been like for the last few days here on the ground . take a listen . well , we do n't have any power . we have n't had any since friday morning . we had water , running water . but we ca n't drink it . and now the pressure is so low that there 's no water coming out anymore . really ? it 's undescribable . i do n't know , it just was covered in litter and trees and mud and it 's stinky . and it was all the way up the street appeared . it just looks like the bottom of a river . now , we know that over the weekend , there were around 600 reports and counting of missing persons , people calling the county to say , i have n't been able to get in touch with my loved one . the good news is the authorities are saying , you know , keep calm , keep holding on to hope . because as those cell phone and those communication services are restored , hopefully they will be able to communicate and reach out to their loved ones . another thing that we 're dealing with here at john is power outages . in north carolina alone , over 450,000 customers have been impacted by these power outages . and we still do not know when they can expect to have the lights back on . yeah , it 's not a matter of lines being knocked down . it 's a matter of lines being completely swept away . there may just be no power lines in some places . maribel gonzalez in asheville , thank you so much for being there . please keep us posted . sarah . all right . we are finally getting a look at some of the greatest damage left by hurricane helene . look at this . before and after of the beautiful little village of chimney rock , just up the road from there . our next guest woke up early friday to the sound of boulders smashing into the bridge outside their house . and then they watched as that bridge completely washed away their neighbors homes . washed away . and somehow , miraculously , they were able to escape . tyler covarrubias and lizzie brewer took that video that you are looking at right now with those raging waters . they are joining us now , live and safe from south carolina . first off , how are you two doing this morning ? we 're doing all right ."
_KzplA_M75s,UC8p1vwvWtl6T73JiExfWs1g,Francine could slam Louisiana as a Category 1 hurricane,CBS News,25.0,"['Francine', 'tropical storm', 'hurricane', 'Louisiana', 'weather', 'Tropical Storm', 'Hurricane', 'CBS News 24-7 Clips', 'U.S.']","stay with us for expert political analysis . > > > of the life he does now giving you a look from galveston , texas about 50 miles outside of houston . tropical storm francine headed towards texas and louisiana . the place you 're looking at usually attracts a lot of families for a lot of fun but right now , you are seeing pretty soupy conditions and rough waters . > > concerned about sturm storage . we are concerned about heavy rain with rainfall expected to be anywhere up to around 12 inches just along the coastline . as we take a look at the map , were starting to see the hurricane really gain strength south of texas as it moves its way up into the louisiana coastline . later tonight , it is the corrected headed a category 1. it is expected to gain strength at a category 1 before it louisiana . take a look by me right now , max winds are sitting around 65 miles per hour . it 's gaining strength , though , as it warmer sea surface temperatures moving its way slowly to the north just eight miles per hour right now . as we headed to the coming days , a big concern about tropical storm francine 's soon- to-be hurricane prancing has to do with the coastline and if we can advance the graphic , i will tell you what 's happening around the corner . this is directly aimed right over new orleans . as we headed to the coming days wednesday evening . following the seven clock hour , that is when it is anticipated to make landfall . although into the mississippi and louisiana for the next couple days . now let 's take a look at futurecast . this is the storm system is impacting the coastland of texas to go with heavy rainfall amount expected widespread throughout the region . in the coming days , we can excite anywhere from into the rain in local areas throughout louisiana as a strengthening storm continues to . it was yesterday when we were more concerned about 12 inches . now it is looking better in that area and here is what is happening as we headed to the coming days for rainfall totals . as mentioned . anywhere from on average is expected along the coastline but it 's communities we could see closer to 12 inches . > > as we track francine 's arrival , people who live there preparing for the worst , while at the same time , doing what we do in the united states . hoping for the best and . dave malkoff joins us from louisiana . dave , you are about 50 miles outside of new orleans and our point , people having people , you see the sandbags . > > rita , just seconds ago , a huge dump truck came here delivering almost two tons of the sand . there was no sand left , really . folks here are carefully filling up each one of these bags . would you say like 25 pounds each or so ? and where are you taking them ? > > i 'm taking these to the job site right here at the civic center where we are trying to recover from hurricane ida . we are doing the repairs over here . > > hurricane ida was three years ago . we are talking to a lot of people here in houma who are still recovering from that . i still have a lot of stuff outside of their house and they do n't have any way to protect it because their garage is full of stuff that they have already been protecting for three years from the last hurricane which was a category 4 and i we got a category 2 coming in . without the coast guard 's right here . they are filling up these bags of sand to go over to their homes because they are actually going to ride this out . it is a hurricane that you need . all the essential services , we talked to one woman who works in the maternity ward . she worked all the way through ida . she was delivering babies during ida and now she 's going to do the whole thing all over again delivering babies through this one . that will be her shift as a scrub tech at the hospital over there . > > rita , if you look at these , using these half cones to put in the sand through their . people may be a little inefficient for folks just coming here . maybe"
